person_id,publication_id,author_position,raw_author_name,is_corresponding,sort_order
A5101542158,W2108598243,first,Jia Deng,1,0
A5086692495,W2108598243,middle,Wei Dong,0,1
A5059955534,W2108598243,middle,Richard Socher,0,2
A5009049500,W2108598243,middle,Li-Jia Li,0,3
A5100399972,W2108598243,middle,Kai Li,0,4
A5100450462,W2108598243,last,Li Fei-Fei,0,5
A5100349451,W3138516171,first,Ze Liu,1,0
A5102798361,W3138516171,middle,Yutong Lin,0,1
A5101593662,W3138516171,middle,Yue Cao,0,2
A5101976576,W3138516171,middle,Han Hu,0,3
A5009248953,W3138516171,middle,Yixuan Wei,0,4
A5100459168,W3138516171,middle,Zheng Zhang,0,5
A5025114648,W3138516171,middle,Stephen Lin,0,6
A5101666011,W3138516171,last,Baining Guo,0,7
A5045613469,W2167928095,first,Kathleen M. Eisenhardt,1,0
A5012295433,W2167928095,last,Melissa E. Graebner,0,1
A5106923143,W2081228936,first,Rabi S. Bhagat,1,0
A5056276177,W2081228936,last,Geert Hofstede,0,1
A5110458536,W201578715,first,Dennis A. Gioia,1,0
A5088714049,W201578715,middle,Ajay Mehra,0,1
A5078272344,W201578715,last,Karl E. Weick,0,2
A5045613469,W2141951329,first,Kathleen M. Eisenhardt,1,0
A5045613469,W3123397884,first,Kathleen M. Eisenhardt,1,0
A5056507889,W2133990480,first,Mark Hall,1,0
A5059992863,W2133990480,middle,Eibe Frank,0,1
A5063502807,W2133990480,middle,Geoffrey Holmes,0,2
A5087785022,W2133990480,middle,Bernhard Pfahringer,0,3
A5065535374,W2133990480,middle,Peter Reutemann,0,4
A5045934263,W2133990480,last,Ian H. Witten,0,5
A5040957761,W2764347725,first,Jim Law,1,0
A5103432521,W2153635508,first,Chih-Chung Chang,1,0
A5068223640,W2153635508,last,Chih-Jen Lin,0,1
A5112607389,W2167590372,first,R. D. Shannon,1,0
A5042885999,W2132454074,first,George M. Sheldrick,1,0
A5042885999,W2131350133,first,George M. Sheldrick,1,0
A5042885999,W2148066840,first,G. M. Sheldrick,1,0
A5042885999,W1969360633,first,George M. Sheldrick,1,0
A5027915011,W2180229411,first,Paul D. Adams,1,0
A5027485418,W2180229411,middle,Pavel V. Afonine,0,1
A5032792168,W2180229411,middle,Gábor Bunkóczi,0,2
A5019366254,W2180229411,middle,Vincent B. Chen,0,3
A5061053575,W2180229411,middle,Ian W. Davis,0,4
A5112138120,W2180229411,middle,Nathaniel Echols,0,5
A5027195057,W2180229411,middle,Jeffrey J. Headd,0,6
A5023778323,W2180229411,middle,Li-Wei Hung,0,7
A5069575711,W2180229411,middle,Gary J. Kapral,0,8
A5110342059,W2180229411,middle,Ralf W. Grosse-Kunstleve,0,9
A5103453342,W2180229411,middle,Airlie J. McCoy,0,10
A5084490031,W2180229411,middle,Nigel W. Moriarty,0,11
